SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015
40,6,0,0,0,0,0,A,California,California,37253956,37254503,37334079,37700034,38056055,38414128,38792291,39144818
162,6,0,296,0,0,0,A,Adelanto city,California,31765,31765,31679,31919,31184,31347,32698,33166
162,6,0,394,0,0,0,A,Agoura Hills city,California,20330,20330,20338,20511,20612,20695,20789,20915
162,6,0,562,0,0,0,A,Alameda city,California,73812,73812,73969,74778,75785,76684,77752,78630
162,6,0,674,0,0,0,A,Albany city,California,18539,18543,18577,18776,19026,19268,19525,19735
162,6,0,884,0,0,0,A,Alhambra city,California,83089,83096,83172,83755,84409,84775,85368,85551
162,6,0,947,0,0,0,A,Aliso Viejo city,California,47823,48054,48205,48950,49590,50160,50211,50195
162,6,0,1444,0,0,0,A,Alturas city,California,2827,2827,2832,2765,2709,2637,2615,2594
162,6,0,1514,0,0,0,A,Amador City city,California,185,185,185,185,184,183,185,189
162,6,0,1640,0,0,0,A,American Canyon city,California,19454,19542,19623,19866,20079,20344,20453,20554
162,6,0,2000,0,0,0,A,Anaheim city,California,336265,336440,337257,340801,343540,345738,346847,350742
162,6,0,2042,0,0,0,A,Anderson city,California,9932,9932,9942,10012,10058,10126,10206,10217
162,6,0,2112,0,0,0,A,Angels city,California,3836,3836,3826,3793,3764,3748,3750,3767
162,6,0,2252,0,0,0,A,Antioch city,California,102372,102745,103118,104310,105736,107602,109359,110542
162,6,0,2364,0,0,0,A,Apple Valley town,California,69135,69139,69327,70133,70580,71000,71517,72174
162,6,0,2462,0,0,0,A,Arcadia city,California,56364,56370,56412,56784,57077,57597,57992,58408
162,6,0,2476,0,0,0,A,Arcata city,California,17231,17231,17500,17732,17710,17708,17730,17843
162,6,0,2868,0,0,0,A,Arroyo Grande city,California,17252,17249,17274,17340,17524,17710,17911,18108
162,6,0,2896,0,0,0,A,Artesia city,California,16522,16522,16526,16607,16687,16765,16856,16961
162,6,0,2924,0,0,0,A,Arvin city,California,19304,19304,19352,19704,20111,20331,20601,20876
162,6,0,3064,0,0,0,A,Atascadero city,California,28310,28306,28420,28603,28762,29082,29169,29819
162,6,0,3092,0,0,0,A,Atherton town,California,6914,6920,6919,6961,7038,7098,7139,7167
162,6,0,3162,0,0,0,A,Atwater city,California,28168,28172,28258,28538,28680,28813,29003,29237
162,6,0,3204,0,0,0,A,Auburn city,California,13330,13305,13346,13533,13639,13865,13939,13953
162,6,0,3274,0,0,0,A,Avalon city,California,3728,3728,3729,3750,3768,3782,3794,3799
162,6,0,3302,0,0,0,A,Avenal city,California,15505,15505,15280,15106,14872,14164,13303,13301
162,6,0,3386,0,0,0,A,Azusa city,California,46361,46346,46324,46591,47293,47904,48659,49690
162,6,0,3526,0,0,0,A,Bakersfield city,California,347483,347609,348930,353581,358106,363956,368694,373640
162,6,0,3666,0,0,0,A,Baldwin Park city,California,75390,75390,75446,75905,76455,76770,76909,77071
162,6,0,3820,0,0,0,A,Banning city,California,29603,29603,29743,30045,30307,30550,30767,30945
162,6,0,4030,0,0,0,A,Barstow city,California,22639,22639,22708,22941,23066,23277,23474,23692
162,6,0,4758,0,0,0,A,Beaumont city,California,36877,36876,37282,38586,39413,40521,42251,43811
162,6,0,4870,0,0,0,A,Bell city,California,35477,35477,35503,35725,35898,36049,36135,36205
162,6,0,4982,0,0,0,A,Bellflower city,California,76616,76610,76642,77089,77471,77805,78058,78441
162,6,0,4996,0,0,0,A,Bell Gardens city,California,42072,42053,42074,42303,42782,42934,43013,43106
162,6,0,5108,0,0,0,A,Belmont city,California,25835,25844,25891,26223,26571,26832,27064,27218
162,6,0,5164,0,0,0,A,Belvedere city,California,2068,2068,2070,2089,2103,2119,2127,2121
162,6,0,5290,0,0,0,A,Benicia city,California,26997,26997,27031,27180,27390,27617,27907,28167
162,6,0,6000,0,0,0,A,Berkeley city,California,112580,112489,112919,114093,115497,117204,119012,120972
162,6,0,6308,0,0,0,A,Beverly Hills city,California,34109,34102,34132,34334,34565,34680,34795,34869
162,6,0,6434,0,0,0,A,Big Bear Lake city,California,5019,5018,5030,5078,5109,5130,5167,5213
162,6,0,6560,0,0,0,A,Biggs city,California,1707,1707,1708,1697,1700,1701,1704,1704
162,6,0,6798,0,0,0,A,Bishop city,California,3879,3879,3872,3848,3849,3843,3839,3806
162,6,0,7162,0,0,0,A,Blue Lake city,California,1253,1253,1253,1246,1242,1241,1239,1252
162,6,0,7218,0,0,0,A,Blythe city,California,20817,20817,20512,20251,20627,19852,19258,19208
162,6,0,7946,0,0,0,A,Bradbury city,California,1048,1048,1048,1059,1067,1080,1082,1089
162,6,0,8058,0,0,0,A,Brawley city,California,24953,24953,25019,25294,25597,25669,25846,25897
162,6,0,8100,0,0,0,A,Brea city,California,39282,39189,39435,39894,40261,41085,41488,41944
162,6,0,8142,0,0,0,A,Brentwood city,California,51481,51624,51829,52776,53601,55055,57031,58968
162,6,0,8310,0,0,0,A,Brisbane city,California,4282,4282,4292,4351,4411,4462,4611,4717
162,6,0,8758,0,0,0,A,Buellton city,California,4828,4828,4836,4865,4914,4979,5046,5082
162,6,0,8786,0,0,0,A,Buena Park city,California,80530,80613,80827,81701,82313,83090,83074,83270
162,6,0,8954,0,0,0,A,Burbank city,California,103340,103299,103336,103901,104407,104870,105094,105319
162,6,0,9066,0,0,0,A,Burlingame city,California,28806,28806,28850,29304,29698,29986,30303,30459
