SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015
40,8,0,0,0,0,0,A,Colorado,Colorado,5029196,5029324,5048254,5119480,5191731,5271132,5355588,5456574
162,8,0,760,0,0,0,A,Aguilar town,Colorado,538,538,534,519,518,494,477,476
162,8,0,925,0,0,0,A,Akron town,Colorado,1702,1702,1698,1700,1679,1694,1697,1724
162,8,0,1090,0,0,0,A,Alamosa city,Colorado,8780,8844,9298,9420,9453,9555,9639,9819
162,8,0,1530,0,0,0,A,Alma town,Colorado,270,270,270,269,268,270,274,277
162,8,0,2355,0,0,0,A,Antonito town,Colorado,781,781,784,785,779,775,775,759
162,8,0,3235,0,0,0,A,Arriba town,Colorado,193,193,193,193,193,191,194,196
162,8,0,3455,0,0,0,A,Arvada city,Colorado,106433,106510,106697,107652,109790,111698,113744,115368
162,8,0,3620,0,0,0,A,Aspen city,Colorado,6658,6663,6665,6639,6668,6718,6799,6882
162,8,0,3950,0,0,0,A,Ault town,Colorado,1519,1519,1526,1539,1556,1576,1599,1622
162,8,0,4000,0,0,0,A,Aurora city,Colorado,325078,324685,326050,332744,339188,345634,352706,359407
162,8,0,4110,0,0,0,A,Avon town,Colorado,6447,6391,6373,6335,6362,6411,6467,6505
162,8,0,4935,0,0,0,A,Basalt town,Colorado,3857,3856,3849,3820,3830,3850,3876,3891
162,8,0,5265,0,0,0,A,Bayfield town,Colorado,2333,2333,2356,2386,2432,2485,2528,2567
162,8,0,6090,0,0,0,A,Bennett town,Colorado,2308,2305,2314,2349,2384,2420,2448,2484
162,8,0,6255,0,0,0,A,Berthoud town,Colorado,5105,5122,5139,5202,5289,5408,5812,6031
162,8,0,6530,0,0,0,A,Bethune town,Colorado,237,237,236,242,241,239,241,239
162,8,0,7025,0,0,0,A,Black Hawk city,Colorado,118,118,118,118,118,120,123,125
162,8,0,7190,0,0,0,A,Blanca town,Colorado,385,385,385,393,385,371,370,370
162,8,0,7410,0,0,0,A,Blue River town,Colorado,849,849,851,848,859,871,884,904
162,8,0,7571,0,0,0,A,Bonanza town,Colorado,16,16,16,16,16,16,16,16
162,8,0,7795,0,0,0,A,Boone town,Colorado,339,339,340,340,342,341,341,345
162,8,0,7850,0,0,0,A,Boulder city,Colorado,97385,97527,98606,100914,102058,103722,105516,107349
162,8,0,8070,0,0,0,A,Bow Mar town,Colorado,866,866,868,879,892,908,923,945
162,8,0,8345,0,0,0,A,Branson town,Colorado,74,74,73,72,72,69,67,67
162,8,0,8400,0,0,0,A,Breckenridge town,Colorado,4540,4527,4537,4520,4578,4669,4757,4896
162,8,0,8675,0,0,0,A,Brighton city,Colorado,33352,33780,33927,34545,35154,35849,36831,37585
162,8,0,9115,0,0,0,A,Brookside town,Colorado,233,233,233,237,240,240,242,246
162,8,0,9280,0,0,0,A,Broomfield city,Colorado,55889,55866,56271,57445,58949,60163,61875,65065
162,8,0,9555,0,0,0,A,Brush city,Colorado,5463,5473,5475,5542,5505,5487,5451,5459
162,8,0,10105,0,0,0,A,Buena Vista town,Colorado,2617,2617,2616,2642,2661,2724,2732,2760
162,8,0,10600,0,0,0,A,Burlington city,Colorado,4254,4254,4243,4121,4043,4008,3743,3720
162,8,0,11260,0,0,0,A,Calhan town,Colorado,780,780,786,793,795,793,786,789
162,8,0,11645,0,0,0,A,Campo town,Colorado,109,109,109,110,109,107,105,105
162,8,0,11810,0,0,0,A,Cañon City city,Colorado,16400,16415,16421,16486,16497,16327,16306,16395
162,8,0,12045,0,0,0,A,Carbondale town,Colorado,6427,6427,6390,6383,6467,6512,6569,6670
162,8,0,12387,0,0,0,A,Castle Pines city,Colorado,A,10360,10397,10389,10458,10433,10377,10347
162,8,0,12415,0,0,0,A,Castle Rock town,Colorado,48231,48262,48592,49438,50439,51667,53598,55591
162,8,0,12635,0,0,0,A,Cedaredge town,Colorado,2253,2253,2249,2213,2208,2219,2183,2183
162,8,0,12815,0,0,0,A,Centennial city,Colorado,100377,101102,101455,103049,104779,107256,108187,109741
162,8,0,12855,0,0,0,A,Center town,Colorado,2230,2239,2244,2245,2276,2229,2202,2204
162,8,0,12910,0,0,0,A,Central City city,Colorado,663,663,668,665,668,681,708,724
162,8,0,13460,0,0,0,A,Cheraw town,Colorado,252,252,252,253,251,249,248,247
162,8,0,13845,0,0,0,A,Cherry Hills Village city,Colorado,5987,5987,6015,6125,6245,6346,6447,6539
162,8,0,14175,0,0,0,A,Cheyenne Wells town,Colorado,846,846,844,859,866,870,853,837
162,8,0,14765,0,0,0,A,City of Creede town,Colorado,290,290,287,288,286,292,280,294
162,8,0,15330,0,0,0,A,Coal Creek town,Colorado,343,343,343,343,344,338,338,341
162,8,0,15550,0,0,0,A,Cokedale town,Colorado,129,129,128,125,125,121,119,119
162,8,0,15605,0,0,0,A,Collbran town,Colorado,708,703,701,704,705,704,706,702
162,8,0,16000,0,0,0,A,Colorado Springs city,Colorado,416427,417514,420644,428031,434576,442102,448961,456568
162,8,0,16385,0,0,0,A,Columbine Valley town,Colorado,1256,1256,1261,1281,1303,1323,1333,1360
162,8,0,16495,0,0,0,A,Commerce City city,Colorado,45913,45917,46180,47563,48593,49960,51831,53696
162,8,0,17375,0,0,0,A,Cortez city,Colorado,8482,8482,8491,8479,8480,8567,8617,8715
162,8,0,17760,0,0,0,A,Craig city,Colorado,9464,9464,9472,9208,9030,8983,8848,8844
162,8,0,17925,0,0,0,A,Crawford town,Colorado,431,430,429,421,420,419,410,408
162,8,0,18310,0,0,0,A,Crested Butte town,Colorado,1487,1487,1481,1490,1500,1516,1541,1579
162,8,0,18420,0,0,0,A,Crestone town,Colorado,127,127,129,130,133,131,137,139
162,8,0,18530,0,0,0,A,Cripple Creek city,Colorado,1189,1189,1194,1186,1184,1171,1172,1155
162,8,0,18640,0,0,0,A,Crook town,Colorado,110,110,110,110,109,109,109,110
162,8,0,18750,0,0,0,A,Crowley town,Colorado,176,176,178,179,175,172,174,170
162,8,0,19080,0,0,0,A,Dacono city,Colorado,4152,4155,4181,4263,4322,4399,4533,4792
162,8,0,19355,0,0,0,A,De Beque town,Colorado,504,500,498,499,498,495,496,496
162,8,0,19630,0,0,0,A,Deer Trail town,Colorado,546,546,548,555,562,569,578,612
162,8,0,19795,0,0,0,A,Del Norte town,Colorado,1686,1686,1689,1671,1662,1638,1614,1604
162,8,0,19850,0,0,0,A,Delta city,Colorado,8915,8882,8861,8735,8815,8846,8702,8791
162,8,0,20000,0,0,0,A,Denver city,Colorado,600158,599860,603300,619374,633976,648411,663963,682545
162,8,0,20440,0,0,0,A,Dillon town,Colorado,904,906,908,903,910,925,938,961
162,8,0,20495,0,0,0,A,Dinosaur town,Colorado,339,339,339,329,321,318,312,311
162,8,0,20770,0,0,0,A,Dolores town,Colorado,936,936,937,932,932,942,949,963
162,8,0,21265,0,0,0,A,Dove Creek town,Colorado,735,735,736,723,709,722,701,697
162,8,0,22035,0,0,0,A,Durango city,Colorado,16887,16897,16844,16953,17165,17598,17694,18006
162,8,0,22145,0,0,0,A,Eads town,Colorado,609,609,607,629,620,610,603,608
162,8,0,22200,0,0,0,A,Eagle town,Colorado,6508,6508,6499,6473,6490,6525,6592,6678
162,8,0,22860,0,0,0,A,Eaton town,Colorado,4365,4365,4384,4446,4530,4643,4803,4928
162,8,0,23025,0,0,0,A,Eckley town,Colorado,257,257,257,259,256,256,254,251
162,8,0,23135,0,0,0,A,Edgewater city,Colorado,5170,5159,5165,5186,5223,5252,5296,5302
162,8,0,23740,0,0,0,A,Elizabeth town,Colorado,1358,1358,1357,1362,1365,1374,1388,1402
162,8,0,24620,0,0,0,A,Empire town,Colorado,282,282,282,281,282,281,283,287
162,8,0,24785,0,0,0,A,Englewood city,Colorado,30255,30255,30354,30788,31280,31702,32617,33082
162,8,0,24950,0,0,0,A,Erie town,Colorado,18135,18146,18262,18760,19293,19739,20471,21420
162,8,0,25115,0,0,0,A,Estes Park town,Colorado,5858,5860,5880,5942,6027,6098,6172,6257
162,8,0,25280,0,0,0,A,Evans city,Colorado,18537,18545,18653,19186,19805,20209,20894,21383
162,8,0,25610,0,0,0,A,Fairplay town,Colorado,679,679,681,673,670,672,676,681
162,8,0,26270,0,0,0,A,Federal Heights city,Colorado,11467,11472,11509,11659,11812,12076,12204,12381
162,8,0,26600,0,0,0,A,Firestone town,Colorado,10147,10185,10284,10633,10931,11214,11531,11999
162,8,0,26765,0,0,0,A,Flagler town,Colorado,561,561,560,570,567,561,563,558
162,8,0,26875,0,0,0,A,Fleming town,Colorado,408,408,409,405,402,399,399,403
162,8,0,27040,0,0,0,A,Florence city,Colorado,3881,3885,3885,3897,3896,3851,3844,3865
162,8,0,27425,0,0,0,A,Fort Collins city,Colorado,143986,144344,144796,146287,149294,152702,157176,161175
162,8,0,27700,0,0,0,A,Fort Lupton city,Colorado,7377,7401,7430,7506,7604,7689,7764,7822
162,8,0,27810,0,0,0,A,Fort Morgan city,Colorado,11315,11348,11352,11495,11417,11374,11295,11319
162,8,0,27865,0,0,0,A,Fountain city,Colorado,25846,25885,26090,26463,26802,27067,27226,27767
162,8,0,27975,0,0,0,A,Fowler town,Colorado,1182,1182,1184,1182,1169,1157,1152,1148
162,8,0,28105,0,0,0,A,Foxfield town,Colorado,685,685,690,704,716,735,745,760
162,8,0,28305,0,0,0,A,Fraser town,Colorado,1224,1224,1217,1195,1164,1172,1193,1213
162,8,0,28360,0,0,0,A,Frederick town,Colorado,8679,8672,8724,8968,9411,10188,10901,11413
162,8,0,28690,0,0,0,A,Frisco town,Colorado,2683,2686,2696,2706,2752,2832,2918,3035
162,8,0,28745,0,0,0,A,Fruita city,Colorado,12646,12685,12647,12704,12725,12725,12761,12795
162,8,0,29185,0,0,0,A,Garden City town,Colorado,234,250,251,254,258,261,264,266
162,8,0,29680,0,0,0,A,Genoa town,Colorado,139,139,139,139,139,138,140,141
162,8,0,29735,0,0,0,A,Georgetown town,Colorado,1034,1034,1035,1031,1029,1031,1037,1049
162,8,0,29955,0,0,0,A,Gilcrest town,Colorado,1034,1034,1039,1048,1060,1071,1078,1083
162,8,0,30340,0,0,0,A,Glendale city,Colorado,4184,4318,4332,4397,4470,4533,5135,5198
162,8,0,30780,0,0,0,A,Glenwood Springs city,Colorado,9614,9610,9556,9535,9650,9803,9831,9906
162,8,0,30835,0,0,0,A,Golden city,Colorado,18867,18905,18960,19351,19512,19610,20047,20330
162,8,0,31550,0,0,0,A,Granada town,Colorado,517,517,517,513,508,502,491,486
162,8,0,31605,0,0,0,A,Granby town,Colorado,1864,1869,1862,1821,1784,1820,1841,1877
162,8,0,31660,0,0,0,A,Grand Junction city,Colorado,58566,58999,59027,59613,59871,59941,59934,60358
162,8,0,31715,0,0,0,A,Grand Lake town,Colorado,471,471,469,465,456,463,478,483
162,8,0,32155,0,0,0,A,Greeley city,Colorado,92889,92897,93220,94280,95325,96592,98312,100883
162,8,0,32650,0,0,0,A,Green Mountain Falls town,Colorado,640,640,644,651,653,655,653,656
162,8,0,33035,0,0,0,A,Greenwood Village city,Colorado,13925,13925,13981,14233,14488,14713,15443,15663
162,8,0,33310,0,0,0,A,Grover town,Colorado,137,137,138,139,141,143,144,146
162,8,0,33640,0,0,0,A,Gunnison city,Colorado,5854,5829,5910,5923,5909,5912,5974,6076
162,8,0,33695,0,0,0,A,Gypsum town,Colorado,6477,6494,6492,6469,6535,6690,6818,6922
162,8,0,34520,0,0,0,A,Hartman town,Colorado,81,76,76,76,75,75,74,73
162,8,0,34740,0,0,0,A,Haswell town,Colorado,68,68,68,71,70,69,68,69
162,8,0,34960,0,0,0,A,Haxtun town,Colorado,946,946,950,933,937,930,939,930
162,8,0,35070,0,0,0,A,Hayden town,Colorado,1810,1806,1800,1782,1780,1799,1831,1839
162,8,0,36610,0,0,0,A,Hillrose town,Colorado,264,252,252,254,253,250,249,250
162,8,0,37215,0,0,0,A,Holly town,Colorado,802,794,793,790,785,781,767,760
162,8,0,37270,0,0,0,A,Holyoke city,Colorado,2313,2313,2324,2275,2279,2267,2277,2251
162,8,0,37380,0,0,0,A,Hooper town,Colorado,103,103,103,105,104,104,103,103
162,8,0,37545,0,0,0,A,Hotchkiss town,Colorado,944,942,940,924,922,920,905,902
162,8,0,37600,0,0,0,A,Hot Sulphur Springs town,Colorado,663,663,661,655,642,652,671,677
162,8,0,37820,0,0,0,A,Hudson town,Colorado,2356,2344,2350,2365,2523,2544,1559,1571
162,8,0,37875,0,0,0,A,Hugo town,Colorado,730,730,730,730,725,724,731,736
162,8,0,38370,0,0,0,A,Idaho Springs city,Colorado,1717,1716,1716,1705,1701,1699,1709,1728
162,8,0,38535,0,0,0,A,Ignacio town,Colorado,697,704,704,706,707,713,720,720
162,8,0,38590,0,0,0,A,Iliff town,Colorado,266,266,266,263,260,256,258,259
162,8,0,39195,0,0,0,A,Jamestown town,Colorado,274,274,274,277,281,282,260,264
162,8,0,39855,0,0,0,A,Johnstown town,Colorado,9887,9878,9981,10422,11062,12086,13271,14896
162,8,0,39965,0,0,0,A,Julesburg town,Colorado,1225,1225,1220,1222,1223,1209,1204,1237
162,8,0,40185,0,0,0,A,Keenesburg town,Colorado,1127,1127,1132,1145,1162,1179,1188,1195
162,8,0,40515,0,0,0,A,Kersey town,Colorado,1454,1451,1457,1472,1490,1536,1556,1577
162,8,0,40570,0,0,0,A,Kim town,Colorado,74,74,73,72,72,68,67,67
162,8,0,40790,0,0,0,A,Kiowa town,Colorado,723,723,723,724,725,731,742,748
162,8,0,41010,0,0,0,A,Kit Carson town,Colorado,233,233,232,236,238,237,233,229
162,8,0,41560,0,0,0,A,Kremmling town,Colorado,1444,1444,1438,1423,1393,1414,1438,1457
162,8,0,41835,0,0,0,A,Lafayette city,Colorado,24453,24439,24523,24820,25720,26764,27037,27729
162,8,0,42055,0,0,0,A,La Jara town,Colorado,818,823,826,826,821,816,818,801
162,8,0,42110,0,0,0,A,La Junta city,Colorado,7077,7077,7113,7106,7052,7001,6970,6951
162,8,0,42330,0,0,0,A,Lake City town,Colorado,408,408,409,398,382,387,372,367
162,8,0,42495,0,0,0,A,Lakeside town,Colorado,8,8,8,8,8,8,8,8
162,8,0,43000,0,0,0,A,Lakewood city,Colorado,142980,142995,143191,144231,145544,147073,149809,152597
162,8,0,43110,0,0,0,A,Lamar city,Colorado,7804,7932,7948,7911,7841,7764,7617,7555
162,8,0,43550,0,0,0,A,Larkspur town,Colorado,183,185,186,185,188,189,190,194
162,8,0,43605,0,0,0,A,La Salle town,Colorado,1955,1955,1963,1981,2005,2029,2042,2052
162,8,0,43660,0,0,0,A,Las Animas city,Colorado,2410,2410,2413,2359,2315,2258,2197,2227
162,8,0,44100,0,0,0,A,La Veta town,Colorado,800,800,794,772,776,761,754,759
162,8,0,44320,0,0,0,A,Leadville city,Colorado,2602,2602,2587,2621,2583,2576,2604,2644
162,8,0,44980,0,0,0,A,Limon town,Colorado,1880,1882,1882,1879,1867,1855,1885,1911
162,8,0,45255,0,0,0,A,Littleton city,Colorado,41737,41757,42038,43213,43901,44508,44856,46368
162,8,0,45530,0,0,0,A,Lochbuie town,Colorado,4726,4726,4803,5059,5191,5237,5289,5390
162,8,0,45695,0,0,0,A,Log Lane Village town,Colorado,873,873,871,879,872,871,870,873
162,8,0,45955,0,0,0,A,Lone Tree city,Colorado,10218,11113,11305,11415,11683,12916,13024,13175
162,8,0,45970,0,0,0,A,Longmont city,Colorado,86270,86307,86416,87440,88722,90138,90429,92088
162,8,0,46355,0,0,0,A,Louisville city,Colorado,18376,18405,18432,18632,19077,19590,20108,20396
162,8,0,46465,0,0,0,A,Loveland city,Colorado,66859,66824,67006,69168,70262,71402,72704,75182
162,8,0,47070,0,0,0,A,Lyons town,Colorado,2033,2035,2038,2068,2094,2107,2108,2147
162,8,0,48060,0,0,0,A,Manassa town,Colorado,991,991,995,993,986,980,979,966
162,8,0,48115,0,0,0,A,Mancos town,Colorado,1336,1338,1339,1334,1335,1348,1362,1380
162,8,0,48445,0,0,0,A,Manitou Springs city,Colorado,4992,4992,5031,5099,5160,5207,5237,5334
162,8,0,48500,0,0,0,A,Manzanola town,Colorado,434,434,435,433,427,425,423,419
162,8,0,48555,0,0,0,A,Marble town,Colorado,131,130,129,130,130,130,132,135
162,8,0,49600,0,0,0,A,Mead town,Colorado,3405,3432,3464,3547,3778,3980,4091,4476
162,8,0,49875,0,0,0,A,Meeker town,Colorado,2475,2475,2453,2499,2468,2445,2413,2362
162,8,0,50040,0,0,0,A,Merino town,Colorado,284,284,284,283,282,280,282,283
162,8,0,50480,0,0,0,A,Milliken town,Colorado,5610,5612,5636,5706,5792,5925,6076,6388
162,8,0,50920,0,0,0,A,Minturn town,Colorado,1027,1029,1028,1018,1017,1019,1022,1026
162,8,0,51250,0,0,0,A,Moffat town,Colorado,116,116,116,117,119,117,116,116
162,8,0,51635,0,0,0,A,Monte Vista city,Colorado,4444,4444,4459,4426,4419,4369,4319,4294
162,8,0,51690,0,0,0,A,Montezuma town,Colorado,65,65,65,65,65,66,67,68
162,8,0,51745,0,0,0,A,Montrose city,Colorado,19132,19127,19104,18992,18905,18925,19012,19062
162,8,0,51800,0,0,0,A,Monument town,Colorado,5530,6005,6050,6132,6206,6261,6297,6420
162,8,0,52075,0,0,0,A,Morrison town,Colorado,428,425,425,427,430,430,432,434
